date,game,map,match_type,my_duration,my_rank,rp_earned,premade_squad,voice_chat,squad_placed,teamate_count,my_quit,teamate_quit_count,my_legend,teamate_1_legend,teamate_2_legend,my_damage,teamate_1_damage,teamate_2_damage,my_kills,teamate_1_kills,teamate_2_kills,my_assists,teamate_1_assists,teamate_2_assists,my_knocks,teamate_1_knocks,teamate_2_knocks,my_revives,teamate_1_revives,teamate_2_revives,my_respawns,teamate_1_respawns,teamate_2_respawns,,
11/07/2022,45,broken moon,ranked,1043,S2,216,yes,yes,4,2,0,0,Horizon,Seer,Bloodhound,1365,1042,969,4,4,3,1,2,2,4,4,3,0,2,3,1,0,0,,
11/07/2022,46,broken moon,casual,228,S1,0,no,no,10,2,0,0,Horizon,Bangalore,Lifeline,358,669,409,3,1,2,0,1,2,3,3,2,0,0,0,0,0,0,,
11/07/2022,47,broken moon,ranked,85,S1,-31,no,yes,19,2,0,0,Horizon,Vantage,Seer,132,90,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
11/07/2022,48,broken moon,ranked,492,S1,30,no,yes,5,2,0,0,Pathfinder,Bloodhound,Horizon,112,49,329,0,0,1,1,1,0,2,0,1,0,0,0,0,0,0,,
11/07/2022,49,broken moon,ranked,232,S1,-30,no,yes,14,2,0,0,Pathfinder,Horizon,Ashe,208,145,190,1,0,0,0,0,1,1,0,2,1,0,0,0,0,0,,
11/07/2022,50,broken moon,ranked,NA,S1,-31,yes,yes,17,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
11/07/2022,51,broken moon,ranked,701,S1,21,no,no,7,2,0,0,Horizon,Newcastle,Seer,396,485,347,1,2,1,1,0,1,1,2,2,0,0,1,0,0,0,,
11/07/2022,52,broken moon,ranked,1212,S1,236,yes,yes,2,2,0,0,Horizon,Catalyst,Seer,1357,614,1043,6,1,1,1,2,3,6,1,2,0,1,0,0,0,0,,
11/07/2022,53,broken moon,ranked,498,S1,-21,yes,yes,10,2,0,0,Horizon,Wattson,Seer,563,46,283,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,
11/07/2022,54,broken moon,ranked,NA,S1,-31,yes,yes,19,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
11/07/2022,55,broken moon,ranked,NA,S1,-21,yes,yes,9,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
11/07/2022,56,broken moon,casual,598,S1,0,yes,yes,4,1,0,0,Horizon,Lifeline,Bloodhound,91,116,417,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,
11/08/2022,57,worlds edge,casual,155,S1,0,no,no,12,2,0,1,Loba,Horizon,Revenant,227,271,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,
11/08/2022,58,worlds edge,casual,985,S1,0,no,yes,3,2,0,1,Catalyst,Wraith,Pathfinder,1268,1100,36,3,4,0,2,0,0,3,5,0,0,1,0,0,0,0,,
11/08/2022,59,broken moon,casual,NA,S1,0,no,no,NA,NA,NA,NA,Catalyst,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
11/08/2022,60,broken moon,casual,146,S1,0,no,no,15,2,0,0,Maggie,Pathfinder,Catalyst,288,233,232,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,,
11/08/2022,61,broken moon,casual,NA,S1,0,no,no,4,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
11/08/2022,62,broken moon,casual,NA,S1,0,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
11/08/2022,63,broken moon,casual,NA,S1,0,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
11/08/2022,64,broken moon,ranked,258,S1,-31,no,no,17,2,1,NA,Vantage,NA,NA,160,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,,
11/09/2022,65,broken moon,casual ,584,S1,0,no,no,5,2,0,0,Newcastle,Wraith,Bloodhound,944,656,861,1,2,5,4,0,1,1,3,5,0,0,0,0,0,0,,
11/09/2022,66,broken moon,casual,98,S1,0,no,no,17,2,0,0,Catalyst,Horizon,Octane,101,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
11/09/2022,67,broken moon,casual,413,S1,0,no,no,10,2,0,2,Vantage,Loba,Fuse,247,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
11/09/2022,68,broken moon,casual,1019,S1,0,no,no,2,2,0,0,Catalyst,Pathfinder,Caustic,1907,763,1198,4,2,5,6,4,4,5,2,5,0,0,2,0,0,0,,
11/09/2022,69,broken moon,casual,319,S1,0,no,no,14,2,0,0,Catalyst,Seer,Valkyrie,505,228,426,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,
11/09/2022,70,broken moon,casual,551,S1,0,no,no,7,2,0,0,Pathfinder,Fuse,Mirage,516,523,329,2,2,1,0,1,0,2,2,1,0,1,0,0,0,0,,
11/09/2022,71,broken moon,ranked,735,S1,-30,no,no,6,2,0,0,Vantage,Gibraltar,Horizon,949,617,533,3,0,0,0,0,0,3,1,1,0,0,0,2,0,0,,
11/09/2022,72,broken moon,ranked,NA,S1,25,no,no,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
11/09/2022,73,broken moon,ranked,585,S1,41,no,no,8,2,0,0,Vantage,Wraith,Octane,390,409,1050,0,3,3,4,1,0,1,3,3,1,1,1,0,0,0,,
11/09/2022,74,broken moon,ranked,345,S1,0,no,no,11,1,0,1,Vantage,Mirage,NA,512,325,NA,0,2,NA,1,0,NA,0,2,NA,0,0,0,0,0,0,,
